# 6f319d5b-cc15-4849-8f5d-17c164c6c72a
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -38.5457234; 29.0169376; 1.8342440; 0.1266314; 7.6713040; -2.5824866
0.1998510; -38.7379929; 28.9624336; 1.8599388; 0.1305245; 7.6037280; -2.4684239
0.3997021; -38.9287745; 28.9029315; 1.8864460; 0.1347589; 7.5385705; -2.3533927
0.5995531; -39.1178842; 28.8383135; 1.9138047; 0.1390476; 7.4759207; -2.2337264
0.7994042; -39.3051249; 28.7684659; 1.9420311; 0.1434446; 7.4159669; -2.1090781
0.9992552; -39.4902861; 28.6932797; 1.9711464; 0.1479446; 7.3589104; -1.9787227
1.1991063; -39.6731432; 28.6126526; 2.0011711; 0.1525471; 7.3049752; -1.8413638
1.3989573; -39.8534571; 28.5264890; 2.0321264; 0.1572594; 7.2544238; -1.6973731
1.5988084; -40.0309738; 28.4347020; 2.0640318; 0.1620559; 7.2075115; -1.5437001
1.7986594; -40.2054248; 28.3372149; 2.0969072; 0.1669708; 7.1645796; -1.3855744
1.9985105; -40.3765259; 28.2339627; 2.1307648; 0.1718816; 7.1258252; -1.2130922
2.1983615; -40.5439793; 28.1248949; 2.1656191; 0.1769469; 7.0917212; -1.0395726
2.3982126; -40.7074721; 28.0099766; 2.2014698; 0.1818813; 7.0623643; -0.8269617
2.5980636; -40.8666783; 27.8891906; 2.2383680; 0.1873710; 7.0389240; -0.5932189
2.7979146; -41.0212512; 27.7625295; 2.2763596; 0.1930016; 7.0220610; -0.1099020
2.9977657; -41.1708041; 27.6299814; 2.3159596; 0.2029822; 7.0189324; -0.1099020
3.1976167; -41.3149394; 27.4915614; 2.3557088; 0.1947098; 7.0158025; 0.3062923
3.3974678; -41.4536120; 27.3476661; 2.3931541; 0.1802344; 7.0245220; 0.9964520
3.5973188; -41.5869701; 27.1988303; 2.4286492; 0.1750077; 7.0528146; 1.1837683
3.7971699; -41.7150624; 27.0454391; 2.4627073; 0.1658462; 7.0862789; 1.5599551
3.9970209; -41.8380030; 26.8878872; 2.4949184; 0.1565213; 7.1301379; 1.9292223
4.1968720; -41.9559507; 26.7265621; 2.5253834; 0.1484047; 7.1840086; 2.2257036
4.3967230; -42.0690676; 26.5618130; 2.5541524; 0.1395037; 7.2456607; 2.5589949
4.5965741; -42.1775488; 26.3939741; 2.5811375; 0.1305798; 7.3159028; 2.8916528
4.7964251; -42.2816124; 26.2233603; 2.6063740; 0.1219824; 7.3944732; 3.2082382
4.9962761; -42.3814871; 26.0502600; 2.6298879; 0.1133487; 7.4806800; 3.5321043
