# 21d0e04a-1529-4b87-87e6-a0b969fb8c0c
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -31.6784410; 13.7685596; 1.8397919; 1.0555075; 3.0780051; -0.0211350
0.1993956; -31.8637252; 13.6958701; 2.0495448; 1.0560654; 3.0766357; -0.0175013
0.3987912; -32.0298097; 13.5861891; 2.2593349; 1.0559202; 3.0755012; -0.0087410
0.5981869; -32.1694104; 13.4443245; 2.4691497; 1.0562712; 3.0749345; -0.0083715
0.7975825; -32.2765512; 13.2765795; 2.6763405; 1.0296187; 3.0743916; 0.2470785
0.9969781; -32.3484373; 13.0908968; 2.8615030; 0.8329847; 3.0903748; 2.0233439
1.1963737; -32.3886983; 12.8957897; 3.0083281; 0.6423441; 3.2182772; 3.3239395
1.3957694; -32.4038093; 12.6970642; 3.1164144; 0.4425813; 3.4180208; 4.8033195
1.5951650; -32.4014674; 12.4977196; -3.1001447; 0.2254887; 3.6875992; 5.2696645
1.7945606; -32.3899409; 12.2986638; -3.0734262; 0.0427179; 3.9623079; 5.2649765
1.9939562; -32.3764710; 12.0997239; -3.0793405; -0.1017619; 4.2189466; 5.2602926
2.1933519; -32.3665893; 11.9005794; -3.1071598; -0.1767756; 4.4606355; 5.2556129
2.3927475; -32.3637133; 11.7012196; 3.1336276; -0.2484740; 4.6896867; 4.4862087
2.5921431; -32.3707934; 11.5019778; 3.0757166; -0.3325887; 4.8767020; -0.0233928
2.7915387; -32.3909476; 11.3036476; 3.0026824; -0.4001789; 4.8757454; -0.2785337
2.9909344; -32.4264879; 11.1075001; 2.9215973; -0.4130812; 4.8643413; -0.0527382
3.1903300; -32.4780195; 10.9149373; 2.8382959; -0.4229978; 4.8621790; -0.0527382
3.3897256; -32.5452515; 10.7272743; 2.7583616; -0.3785572; 4.8600158; 1.0058812
3.5891212; -32.6265917; 10.5452727; 2.6848883; -0.3589268; 4.9011111; 1.3246726
3.7885168; -32.7207046; 10.3695296; 2.6158194; -0.3340621; 4.9547107; 1.7442930
3.9879125; -32.8263114; 10.2004371; 2.5516072; -0.3102247; 5.0244170; 2.1121330
4.1873081; -32.9421567; 10.0381813; 2.4923732; -0.2840460; 5.1075500; 2.5318774
4.3867037; -33.0670005; 9.8827367; 2.4383876; -0.2575529; 5.2054546; 2.9607040
4.5860993; -33.1996580; 9.7338986; 2.3897373; -0.2304900; 5.3176555; 3.4192470
4.7854950; -33.3390167; 9.5913099; 2.3464525; -0.2037126; 5.4443573; 3.8956249
4.9848906; -33.4840563; 9.4544987; 2.3084297; -0.1776938; 5.5852097; 4.3873283
5.1842862; -33.6338592; 9.3229157; 2.2754575; -0.1530485; 5.7397034; 4.8844486
5.3836818; -33.7876147; 9.1959701; 2.2472610; -0.1297890; 5.9069510; -3.2056842
5.5830775; -33.9446106; 9.0730513; 2.2235651; -0.1079062; 5.7977299; -6.4109176
5.7824731; -34.1042296; 8.9535561; 2.2038805; -0.0895672; 5.5728856; -7.2641188
5.9818687; -34.2659740; 8.8369521; 2.1874323; -0.0754536; 5.3066173; -7.9185395
6.1812643; -34.4294451; 8.7227800; 2.1740493; -0.0587812; 5.0002343; -8.5800654
6.3806600; -34.5942932; 8.6106044; 2.1626538; -0.0556131; 4.6455019; -7.0317125
6.5800556; -34.7607616; 8.5008538; 2.1411880; -0.1603160; 4.3331862; -5.6251348
6.7794512; -34.9306470; 8.3964902; 2.0986261; -0.2668410; 4.0661097; -5.4970218
