# c3e4f898-16f6-4164-acd7-455e537a3761
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.0928322; 23.1435894; 2.1567304; 0.6124471; 3.8489153; -0.0330182
0.1995358; 0.9339789; 23.0230661; 2.2850732; 0.6756313; 3.8472032; -0.0330182
0.3990717; 0.7923345; 22.8827313; 2.4171980; 0.6507237; 3.8454903; 0.3442425
0.5986075; 0.6697919; 22.7254165; 2.5401848; 0.5835622; 3.8633112; 1.2569378
0.7981433; 0.5662999; 22.5549331; 2.6494757; 0.5130485; 3.9276942; 2.0508986
0.9976792; 0.4807761; 22.3747390; 2.7452586; 0.4477850; 4.0305380; 2.6893865
1.1972150; 0.4116763; 22.1876108; 2.8284100; 0.3861777; 4.1615496; 3.2733484
1.3967508; 0.3571970; 21.9956998; 2.8996420; 0.3281478; 4.3156454; 3.8467668
1.5962866; 0.3153877; 21.8006235; 2.9593762; 0.2707708; 4.4899812; 4.4963062
1.7958225; 0.2841735; 21.6035638; 3.0077306; 0.2139778; 4.6855394; 5.2510241
1.9953583; 0.2614006; 21.4053431; 3.0448141; 0.1577393; 4.9040610; 5.2463493
2.1948941; 0.2448228; 21.2065024; 3.0698648; 0.0932734; 5.1130699; 5.2416787
2.3944300; 0.2320333; 21.0073785; 3.0833285; 0.0417498; 5.3136888; 5.2370123
2.5939658; 0.2211690; 20.8081392; 3.0905583; 0.0309933; 5.5068350; 5.2323500
2.7935016; 0.2115888; 20.6088338; 3.0964815; 0.0284300; 5.6932693; 5.2276919
2.9930375; 0.2031364; 20.4094773; 3.1018604; 0.0254811; 5.8736308; 5.2230379
3.1925733; 0.1956966; 20.2100804; 3.1066310; 0.0223348; 6.0484630; 5.2183881
3.3921091; 0.1891438; 20.0106524; 3.1107492; 0.0189425; 6.2182325; 5.2137424
3.5916449; 0.1833294; 19.8112013; 3.1139570; 0.0131951; 6.3833434; 5.2091008
3.7911808; 0.1780638; 19.6117351; 3.1163731; 0.0110443; 6.5441483; 5.2044634
3.9907166; 0.1732535; 19.4122573; 3.1186012; 0.0113017; 6.7009575; 5.1998301
4.1902524; 0.1688850; 19.2127693; 3.1207627; 0.0103566; 6.8540452; 5.1952009
4.3897883; 0.1649276; 19.0132727; 3.1227170; 0.0092315; 7.0036557; 5.1905759
4.5893241; 0.1613385; 18.8137692; 3.1244577; 0.0082159; 7.1500073; 5.1859549
4.7888599; 0.1580763; 18.6142601; 3.1259938; 0.0071811; 7.2932964; 5.1813381
4.9883958; 0.1551000; 18.4147464; 3.1273248; 0.0061605; 7.4337001; 5.1767254
5.1879316; 0.1523691; 18.2152293; 3.1284527; 0.0051444; 7.5713792; 5.1721168
5.3874674; 0.1498429; 18.0157095; 3.1293777; 0.0041266; 7.7064796; 5.1675123
5.5870033; 0.1474811; 17.8161876; 3.1301003; 0.0031168; 7.8391348; 5.1629119
