# d3c30e41-07e7-41bd-8883-bf8ebc37f453
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 4.2291231; 10.6928865; 1.4404222; 0.7415395; 3.4176559; -0.3468390
0.1992127; 4.0303982; 10.7035190; 1.5975008; 0.8385684; 3.3973787; -0.0257256
0.3984254; 3.8326455; 10.6814890; 1.7669362; 0.8671573; 3.3958699; -0.0257256
0.5976382; 3.6413741; 10.6265996; 1.9307025; 0.7808781; 3.3943605; 0.9772673
0.7968509; 3.4607708; 10.5429340; 2.0747413; 0.6670070; 3.4512391; 2.0286745
0.9960636; 3.2929647; 10.4358155; 2.2009365; 0.6011243; 3.5664165; 2.3257288
1.1952763; 3.1390759; 10.3094746; 2.3129041; 0.5239337; 3.6940433; 2.8199816
1.3944891; 2.9993311; 10.1676201; 2.4131231; 0.4833209; 3.8431118; 2.8286399
1.5937018; 2.8738402; 10.0129968; 2.5051197; 0.4411501; 3.9870428; 2.9517906
1.7929145; 2.7624169; 9.8479318; 2.5893359; 0.4052132; 4.1318978; 3.0438801
1.9921272; 2.6646474; 9.6744150; 2.6664087; 0.3690924; 4.2761359; 3.2102290
2.1913399; 2.5799192; 9.4941552; 2.7370846; 0.3413281; 4.4231635; 3.2784835
2.3905527; 2.5076042; 9.3085584; 2.8019558; 0.3097097; 4.5684359; 3.4896129
2.5897654; 2.4468691; 9.1188478; 2.8605123; 0.2783013; 4.7181519; 3.7550865
2.7889781; 2.3967251; 8.9260647; 2.9125930; 0.2441547; 4.8741234; 4.1465991
2.9881908; 2.3559932; 8.7310730; 2.9574348; 0.2054536; 5.0407529; 4.7229077
3.1874036; 2.3232746; 8.5345716; 2.9944686; 0.1663432; 5.2240709; 5.2391190
3.3866163; 2.2970831; 8.3370934; 3.0236857; 0.1268634; 5.4201766; 5.2344624
3.5858290; 2.2758847; 8.1390163; 3.0449086; 0.0859648; 5.6092653; 5.2298100
3.7850417; 2.2580852; 7.9406036; 3.0580014; 0.0455970; 5.7920244; 5.2251616
3.9842544; 2.2420870; 7.7420396; 3.0630414; 0.0049110; 5.9690355; 2.9284612
4.1834672; 2.2262798; 7.5434614; 3.0598947; -0.0366367; 6.0659837; -7.4561587
4.3826799; 2.2090281; 7.3450045; 3.0485173; -0.0774358; 5.8159638; -6.3882106
4.5818926; 2.1887191; 7.1468401; 3.0290752; -0.1176965; 5.5928712; -5.4774497
4.7811053; 2.1637715; 6.9492099; 3.0016448; -0.1576564; 5.3942426; -4.6403892
4.9803181; 2.1326248; 6.7524656; 2.9661489; -0.1989210; 5.2200579; -3.8084557
5.1795308; 2.0936977; 6.5571154; 2.9221848; -0.2428509; 5.0726343; -2.9798505
5.3787435; 2.0453658; 6.3638812; 2.8693051; -0.2882495; 4.9542275; -2.1729913
5.5779562; 1.9860317; 6.1737435; 2.8074413; -0.3327829; 4.8660657; -1.1812973
5.7771689; 1.9142140; 5.9879696; 2.7363087; -0.3822173; 4.8174616; -0.0517266
5.9763817; 1.8284844; 5.8081975; 2.6552991; -0.4312701; 4.8153221; -0.0517266
6.1755944; 1.7280236; 5.6362294; 2.5720567; -0.3926014; 4.8131817; 0.8530342
6.3748071; 1.6144625; 5.4726000; 2.4997988; -0.3315410; 4.8483594; 2.1541644
6.5740198; 1.4903035; 5.3168524; 2.4390276; -0.2799773; 4.9360776; 3.1240383
6.7732326; 1.3576403; 5.1682756; 2.3879524; -0.2331899; 5.0605888; 3.9709793
6.9724453; 1.2181887; 5.0260421; 2.3454438; -0.1946025; 5.2145660; 4.6477681
7.1716580; 1.0733023; 4.8893374; 2.3098663; -0.1634258; 5.3892010; 5.1887555
7.3708707; 0.9240314; 4.7574223; 2.2801743; -0.1349155; 5.5777074; 5.2305975
7.5700834; 0.7712641; 4.6295637; 2.2560823; -0.1070103; 5.7614948; 5.2259485
