# fd4969b6-3204-4ab6-96d3-db2a3d42b55a
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -31.6491239; 14.0505984; 1.7284800; 1.0565657; 3.0764633; -0.0211138
0.1999000; -31.8418074; 13.9987610; 1.9386978; 1.0557375; 3.0750911; -0.0043446
0.3997999; -32.0194281; 13.9078503; 2.1490268; 1.0559580; 3.0748087; -0.0045916
0.5996999; -32.1741553; 13.7818606; 2.3593388; 1.0562857; 3.0745101; -0.0206683
0.7995999; -32.2991637; 13.6263401; 2.5696904; 1.0551345; 3.0731660; -0.0210498
0.9994998; -32.3889707; 13.4481574; 2.7799349; 1.0597785; 3.0717965; -0.0210498
1.1993998; -32.4417751; 13.2556249; 2.9559045; 0.7028468; 3.0704264; 3.3528681
1.3992998; -32.4649529; 13.0572320; 3.0939133; 0.6795968; 3.2814622; 2.6580843
1.5991997; -32.4629947; 12.8574327; -3.0846804; 0.3689461; 3.4395779; 5.2736079
1.7990997; -32.4452752; 12.6583485; -3.0260070; 0.2176698; 3.7335083; 5.2689045
1.9989997; -32.4190809; 12.4601778; -3.0002522; 0.0402546; 4.0056950; 5.2642053
2.1988996; -32.3911039; 12.2622458; -3.0070471; -0.1082323; 4.2603076; 5.2595102
2.3987996; -32.3673446; 12.0637733; -3.0424369; -0.2458625; 4.5003303; 4.9753733
2.5986996; -32.3527969; 11.8644280; -3.0967931; -0.2981003; 4.7161559; -2.3013825
2.7985995; -32.3501135; 11.6645803; 3.1220497; -0.3459725; 4.6175788; -2.6195425
2.9984995; -32.3609370; 11.4650135; 3.0527096; -0.3478825; 4.5027482; -1.4521843
3.1983995; -32.3861627; 11.2667627; 2.9744026; -0.4362588; 4.4378101; -1.2355978
3.3982994; -32.4277008; 11.0712846; 2.8914497; -0.3936983; 4.3817994; -0.0427939
3.5981994; -32.4855431; 10.8800079; 2.8001503; -0.5212933; 4.3798467; -0.0427939
3.7980994; -32.5610088; 10.6949654; 2.7149424; -0.3308472; 4.3778931; 3.6162443
3.9979994; -32.6503881; 10.5162166; 2.6368555; -0.4513875; 4.5400135; 0.6501448
4.1978993; -32.7541474; 10.3454137; 2.5584939; -0.3329644; 4.5685501; 3.0039229
4.3977993; -32.8697420; 10.1823716; 2.4908470; -0.3441499; 4.6981505; 2.3544696
4.5976993; -32.9958464; 10.0273068; 2.4291938; -0.2729936; 4.7972842; 3.6660021
4.7975992; -33.1304436; 9.8795412; 2.3772930; -0.2461580; 4.9476866; 3.9195397
4.9974992; -33.2720992; 9.7385207; 2.3318602; -0.2085255; 5.1035903; 4.5105075
5.1973992; -33.4195709; 9.6035881; 2.2925906; -0.1843593; 5.2773038; 4.8034786
5.3972991; -33.5719289; 9.4741934; 2.2578629; -0.1630348; 5.4562226; 5.0799828
5.5971991; -33.7283954; 9.3497937; 2.2281142; -0.1344841; 5.6392679; 5.2290571
5.7970991; -33.8881072; 9.2295846; 2.2052089; -0.0948822; 5.8216766; 4.9949221
5.9969990; -34.0501117; 9.1124799; 2.1891439; -0.0660666; 5.9907335; -7.6893472
6.1968990; -34.2136938; 8.9975860; 2.1776326; -0.0491759; 5.7284106; -8.4485697
6.3967990; -34.3784084; 8.8843200; 2.1692050; -0.0351308; 5.4255829; -9.0244131
6.5966989; -34.5439085; 8.7722049; 2.1637464; -0.0190721; 5.0822230; -9.5646765
6.7965989; -34.7097504; 8.6605965; 2.1638860; 0.0197853; 4.6909523; -9.6128666
6.9964989; -34.8752930; 8.5485446; 2.1677485; 0.0169052; 4.2616675; -8.5114541
7.1963988; -35.0408767; 8.4365543; 2.1592030; -0.1030881; 3.8417354; -6.8112989
7.3962988; -35.2088697; 8.3282284; 2.1224630; -0.2671661; 3.4692614; -3.6913243
7.5961988; -35.3828995; 8.2300020; 2.0356407; -0.5996442; 3.2496128; -2.8725710
7.7960987; -35.5668984; 8.1522582; 1.9002265; -0.7595391; 3.0678216; -0.0209767
7.9959987; -35.7606333; 8.1041624; 1.7176216; -1.0634742; 3.0664545; -0.0209767
8.1958987; -35.9599988; 8.0959646; 1.5062364; -1.0601565; 3.0650867; 0.0191295
8.3957986; -36.1566487; 8.1297484; 1.2950959; -1.0587410; 3.0663340; 0.0243140
8.5956986; -36.3418653; 8.2039657; 1.0842740; -1.0574039; 3.0679187; 0.0265851
8.7955986; -36.5074626; 8.3152805; 0.8736647; -1.0563844; 3.0696504; 0.0249291
8.9954985; -36.6461446; 8.4587414; 0.6632552; -1.0553863; 3.0712734; 0.0237935
9.1953985; -36.7518219; 8.6279934; 0.4530481; -1.0543172; 3.0728217; 0.0238273
9.3952985; -36.8198783; 8.8155635; 0.2430855; -1.0529121; 3.0743714; 0.0270432
9.5951984; -36.8473756; 9.0131955; 0.0334285; -1.0513164; 3.0761292; 0.0307340
9.7950984; -36.8331770; 9.2122287; -0.1757820; -1.0476990; 3.0781258; 0.0520631
9.9949984; -36.7781533; 9.4040396; -0.3822749; -1.0234055; 3.0815051; 0.2608927
10.1948983; -36.6869651; 9.5816472; -0.5563127; -0.7240626; 3.0983832; 3.0275992
10.3947983; -36.5701582; 9.7436913; -0.6886848; -0.5995845; 3.2879191; 3.4941284
10.5946983; -36.4356295; 9.8914560; -0.7784824; -0.3019329; 3.4939039; 5.2727676
10.7945982; -36.2897272; 10.0280352; -0.8688557; -0.6141644; 3.7835720; 1.1760462
10.9944982; -36.1312527; 10.1497727; -0.9463405; -0.1405174; 3.8452048; 1.7621023
11.1943982; -35.9675668; 10.2645163; -0.9725751; -0.1334968; 3.9357450; -7.9216953
11.3942981; -35.8017382; 10.3761099; -0.9763218; 0.1013270; 3.5104124; -3.5663020
11.5941981; -35.6391244; 10.4923223; -0.9077623; 0.5926307; 3.3010889; -2.4320876
11.7940981; -35.4900774; 10.6253080; -0.7713338; 0.7647532; 3.1503713; -0.3288701
11.9939981; -35.3598598; 10.7768554; -0.6648975; 0.2852887; 3.1294340; -0.7604789
12.1938980; -35.2445342; 10.9399660; -0.5417813; 0.9759068; 3.0804736; -0.0625258
12.3937980; -35.1592693; 11.1203890; -0.3391124; 1.0522243; 3.0764135; -0.0210943
12.5936980; -35.1130253; 11.3144948; -0.1285622; 1.0575423; 3.0750425; -0.0210943
12.7935979; -35.1083854; 11.5139735; 0.0819679; 1.0560920; 3.0736709; 0.0015451
12.9934979; -35.1455225; 11.7100211; 0.2924228; 1.0561625; 3.0737714; 0.0002252
13.1933979; -35.2227933; 11.8939856; 0.5028428; 1.0558766; 3.0737860; 0.0028310
13.3932978; -35.3367812; 12.0577555; 0.7132248; 1.0557359; 3.0739701; 0.0029633
13.5931978; -35.4824544; 12.1941121; 0.9235733; 1.0554726; 3.0741628; 0.0041978
13.7930978; -35.6533860; 12.2970507; 1.1338810; 1.0554562; 3.0744358; 0.0025780
13.9929977; -35.8420391; 12.3620407; 1.3441098; 1.0541686; 3.0746034; 0.0136597
14.1928977; -36.0400610; 12.3868669; 1.5447542; 0.9594538; 3.0754914; 0.9037642
14.3927977; -36.2393800; 12.3750028; 1.7045712; 0.6320969; 3.1336835; 3.7709193
14.5926976; -36.4350570; 12.3349132; 1.8478699; 0.8198058; 3.3656478; 0.6883102
14.7925976; -36.6229226; 12.2670087; 1.9734942; 0.4208576; 3.4062842; 5.0910013
14.9924976; -36.8029391; 12.1802422; 2.0728191; 0.5951065; 3.6929871; 1.8534219
15.1923975; -36.9729748; 12.0752805; 2.1644695; 0.3022632; 3.7919852; 5.2679228
15.3922975; -37.1356720; 11.9591610; 2.2137216; 0.1995498; 4.0602053; 5.2632244
15.5921975; -37.2934129; 11.8363922; 2.2493169; 0.1588287; 4.3115547; 5.2585303
15.7920974; -37.4470006; 11.7084626; 2.2816033; 0.1663050; 4.5488310; 5.2538403
15.9919974; -37.5962771; 11.5755252; 2.3152350; 0.1699323; 4.7741333; 5.2491545
16.1918974; -37.7410049; 11.4376478; 2.3483717; 0.1610834; 4.9890841; 5.2444729
16.3917973; -37.8812027; 11.2951654; 2.3800015; 0.1555535; 5.1949687; 5.2397954
