# 76298957-39a1-4431-9ba7-f4f2cafb40a8
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.1447298; 23.0680993; 2.2110437; 0.4862638; 4.3758227; -0.0426772
0.1999675; 0.9905744; 22.9408615; 2.3118260; 0.5227185; 4.3738720; -0.0426772
0.3999351; 0.8501579; 22.7986053; 2.4122327; 0.4824082; 4.3719204; 0.7367602
0.5999026; 0.7240607; 22.6434976; 2.5043118; 0.4390537; 4.4054903; 1.4353989
0.7998702; 0.6120697; 22.4779029; 2.5883578; 0.4019804; 4.4701690; 1.9228853
0.9998377; 0.5137409; 22.3038372; 2.6652670; 0.3675936; 4.5553749; 2.3256111
1.1998052; 0.4284656; 22.1230091; 2.7355363; 0.3355033; 4.6563434; 2.6774057
1.3997728; 0.3555048; 21.9368636; 2.7995132; 0.3046003; 4.7699394; 3.0188794
1.5997403; 0.2940092; 21.7466158; 2.8573885; 0.2744246; 4.8948624; 3.3714257
1.7997079; 0.2430443; 21.5532751; 2.9093524; 0.2454309; 5.0307086; 3.7321708
1.9996754; 0.2016251; 21.3576622; 2.9555633; 0.2168495; 5.1769349; 4.1285047
2.1996429; 0.1687345; 21.1604320; 2.9962462; 0.1901113; 5.3340219; 4.5275238
2.3996105; 0.1433589; 20.9620915; 3.0315347; 0.1628706; 5.5011367; 5.0036191
2.5995780; 0.1244276; 20.7630293; 3.0609718; 0.1315567; 5.6801081; 5.2280258
2.7995456; 0.1107231; 20.5635363; 3.0839146; 0.0979050; 5.8612711; 5.2233615
2.9995131; 0.1009273; 20.3638110; 3.1001377; 0.0643485; 6.0368455; 5.2187013
3.1994806; 0.0937048; 20.1639748; 3.1096898; 0.0311851; 6.2073058; 5.2140453
3.3994482; 0.0878168; 19.9640941; 3.1139363; 0.0113287; 6.3730625; 5.2093934
3.5994157; 0.0825026; 19.7641972; 3.1160440; 0.0098103; 6.5344735; 5.2047457
3.7993833; 0.0775982; 19.5642899; 3.1181239; 0.0110008; 6.6918536; 5.2001021
3.9993508; 0.0731253; 19.3643724; 3.1203197; 0.0109573; 6.8454809; 5.1954627
4.1993183; 0.0690830; 19.1644457; 3.1223949; 0.0097938; 6.9956026; 5.1908274
4.3992859; 0.0654327; 18.9645116; 3.1242425; 0.0086850; 7.1424400; 5.1861962
4.5992534; 0.0621299; 18.7645713; 3.1258726; 0.0076194; 7.2861918; 5.1815692
4.7992210; 0.0591317; 18.5646263; 3.1272890; 0.0065462; 7.4270373; 5.1769463
4.9991885; 0.0563954; 18.3646775; 3.1284920; 0.0054864; 7.5651388; 5.1723275
5.1991561; 0.0538784; 18.1647258; 3.1294837; 0.0044320; 7.7006442; 5.1677128
5.3991236; 0.0515386; 17.9647719; 3.1302646; 0.0033785; 7.8336882; 5.1631023
5.5990911; 0.0493339; 17.7648165; 3.1308347; 0.0023230; 7.9643943; 5.1584959
5.7990587; 0.0472222; 17.5648602; 3.1311945; 0.0012763; 8.0928758; 5.1538936
5.9990262; 0.0451615; 17.3649032; 3.1313449; 0.0002275; 8.2192373; 5.1492954
6.1989938; 0.0431098; 17.1649462; 3.1312852; -0.0008244; 8.3435751; 5.1447013
6.3989613; 0.0410252; 16.9649895; 3.1310148; -0.0018805; 8.4659785; 1.4432526
6.5989288; 0.0388653; 16.7650337; 3.1305325; -0.0029433; 8.5000000; 0.0000000
6.7988964; 0.0365877; 16.5650791; 3.1298368; -0.0040148; 8.5000000; 0.0000000
6.9988639; 0.0341498; 16.3651264; 3.1289311; -0.0050428; 8.5000000; 0.0000000
7.1988315; 0.0315133; 16.1651763; 3.1278642; -0.0056260; 8.5000000; 0.0000000
7.3987990; 0.0286531; 15.9652292; 3.1267004; -0.0060138; 8.5000000; 0.0000000
7.5987665; 0.0255523; 15.7652857; 3.1254578; -0.0064138; 8.5000000; 0.0000000
7.7987341; 0.0221948; 15.5653464; 3.1241308; -0.0068591; 8.5000000; 0.0000000
7.9987016; 0.0185635; 15.3654118; 3.1227201; -0.0072495; 8.5000000; 0.0000000
8.1986692; 0.0146457; 15.1654827; 3.1212823; -0.0071284; 8.5000000; 0.0000000
8.3986367; 0.0104432; 14.9655593; 3.1198740; -0.0069572; 8.5000000; 0.0000000
8.5986042; 0.0059624; 14.7656420; 3.1184978; -0.0068072; 8.5000000; 0.0000000
8.7985718; 0.0012098; 14.5657310; 3.1171546; -0.0066264; 8.5000000; 0.0000000
8.9985393; -0.0038078; 14.3658264; 3.1158480; -0.0064417; 8.5000000; 0.0000000
9.1985069; -0.0090827; 14.1659285; 3.1145798; -0.0062423; 8.5000000; 0.0000000
9.3984744; -0.0146071; 13.9660373; 3.1133525; -0.0060331; 8.5000000; 0.0000000
9.5984419; -0.0203726; 13.7661529; 3.1121680; -0.0058132; 8.5000000; 0.0000000
9.7984095; -0.0263703; 13.5662753; 3.1110285; -0.0055839; 8.5000000; 0.0000000
9.9983770; -0.0325912; 13.3664046; 3.1099357; -0.0053459; 8.5000000; 0.0000000
10.1983446; -0.0390257; 13.1665406; 3.1088913; -0.0051003; 8.5000000; 0.0000000
10.3983121; -0.0456640; 12.9666833; 3.1078966; -0.0048481; 8.5000000; 0.0000000
