# ae154ea3-8899-4788-afdf-1090b41d87de
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 18.3897953; 0.5503696; 1.0938612; 0.3569258; 4.8316581; 1.6155175
0.1996447; 18.2093966; 0.6358022; 1.1621924; 0.3278866; 4.8979566; 2.0804912
0.3992895; 18.0237846; 0.7092394; 1.2250354; 0.3018885; 4.9820374; 2.4515462
0.5989342; 17.8340820; 0.7713674; 1.2827098; 0.2760589; 5.0793280; 2.8202451
0.7985789; 17.6412381; 0.8229438; 1.3354163; 0.2521107; 5.1889948; 3.1516843
0.9982236; 17.4460389; 0.8647516; 1.3834176; 0.2288701; 5.3088701; 3.4866291
1.1978684; 17.2491296; 0.8975980; 1.4268475; 0.2062903; 5.4384075; 3.8327231
1.3975131; 17.0510313; 0.9223087; 1.4658093; 0.1840781; 5.5773329; 4.2045556
1.5971578; 16.8521558; 0.9397237; 1.5003622; 0.1620999; 5.7258603; 4.6123397
1.7968025; 16.6528182; 0.9506944; 1.5305431; 0.1402633; 5.8844826; 5.0658372
1.9964473; 16.4532497; 0.9560792; 1.5563747; 0.1185142; 6.0539137; 5.2182409
2.1960920; 16.2536074; 0.9567403; 1.5778745; 0.0968714; 6.2236211; 5.2135928
2.3957367; 16.0539905; 0.9535487; 1.5949184; 0.0737002; 6.3886768; 5.2089489
2.5953814; 15.8544438; 0.9474443; 1.6069019; 0.0458936; 6.5494328; 5.2043090
2.7950262; 15.6549613; 0.9394459; 1.6143380; 0.0298374; 6.7061983; 5.1996733
2.9946709; 15.4555285; 0.9302382; 1.6191804; 0.0190772; 6.8592471; 5.1950418
3.1943156; 15.2561321; 0.9202708; 1.6219642; 0.0088121; 7.0088227; 5.1904143
3.3939603; 15.0567565; 0.9099407; 1.6229001; 0.0008056; 7.1551431; 5.1857910
3.5936051; 14.8573862; 0.8995473; 1.6228186; -0.0009709; 7.2984043; 5.1811718
3.7932498; 14.6580121; 0.8891901; 1.6225586; -0.0015864; 7.4387830; 5.1765568
3.9928945; 14.4586330; 0.8788956; 1.6221905; -0.0020945; 7.5764396; 5.1719458
4.1925392; 14.2592496; 0.8686844; 1.6217254; -0.0025615; 7.7115200; 5.1673389
4.3921840; 14.0598610; 0.8585749; 1.6211709; -0.0029898; 7.8441573; 5.1627362
4.5918287; 13.8604664; 0.8485844; 1.6205342; -0.0033847; 7.9744737; 5.1581375
4.7914734; 13.6610650; 0.8387283; 1.6198222; -0.0037447; 8.1025811; 5.1535429
4.9911181; 13.4616564; 0.8290213; 1.6190406; -0.0040829; 8.2285828; 5.1489525
5.1907629; 13.2622401; 0.8194767; 1.6181939; -0.0043967; 8.3525743; 5.1443661
5.3904076; 13.0628153; 0.8101069; 1.6172889; -0.0046651; 8.4746439; 5.1397838
5.5900523; 12.8633818; 0.8009228; 1.6163327; -0.0049113; 8.5948735; 5.1352056
5.7896970; 12.6639396; 0.7919341; 1.6153300; -0.0051311; 8.7133394; 5.1306314
5.9893418; 12.4644882; 0.7831496; 1.6142862; -0.0053227; 8.8301127; 5.1260614
